ntpdate,0
lubuntu-icon-theme,0
byobu,0
libsdl2-2.0-0,0
liblouisutdml-bin,0
libcryptsetup-dev,0
javascript-common,0
libsofia-sip-ua0,0
libsub-install-perl,0
librdf0,0
device-tree-compiler,0
libjline-java,0
gir1.2-gudev-1.0,0
qtdeclarative5-ubuntu-ui-toolkit-plugin,0
python3-uno,0
libheimntlm0-heimdal,7405758
iputils-ping,0
python3-apt,0
linux-modules-4.15.0-47-lowlatency,0
libwinpr-path0.1,0
powerd,0
tree,0
libstartup-notification0,29455965
liblsan0,0
libqt5quicktest5,0
gnupg,0
libhud2,0
mythes-en-us,0
libe-book-0.1-1,0
python-chardet,0
python3-ptyprocess,0
texlive-pstricks-doc,0
grub-gfxpayload-lists,0
libfftw3-double3,0
libfreetype6,112776446
libfwup0,0
vim-scripts,0
lubuntu-artwork-16-04,0
libgmime-2.6-0,0
gir1.2-javascriptcoregtk-4.0,0
libpython2.7,0
libpython2.6,0
libemail-valid-perl,0
libfltk1.1,0
libterm-readkey-perl,0
nvidia-settings,0
liboxideqtcore0,0
i965-va-driver,0
ncurses-bin,0
libportaudio2,0
language-selector-gnome,0
python-wheel,0
qdbus,0
nvidia-384,36828304
ubuntu-fan,0
docbook-utils,0
libpcsclite1,0
qemu-user-static,0
libaccounts-glib0,0
python-apt-common,0
isc-dhcp-client,7111577
libsoup-gnome2.4-1,7367813
liblouisutdml-data,0
ubuntu-release-upgrader-core,0
sgmlspl,0
gsettings-ubuntu-schemas,0
python3-cffi-backend,0
sylpheed-doc,0
libvte-common,0
libtexluajit2,0
colord,9361
ofono,7367822
libc6-i386,0
libosp5,0
libnma-common,0
libpci3,0
gnome-system-monitor,0
libtotem-plparser18,0
findutils,3210
libsonic0,0
libwrap0,39116989
libnatpmp1,0
libhunspell-1.3-0,0
lightdm-gtk-greeter,0
qtdeclarative5-qtquick2-plugin,0
gstreamer1.0-plugins-base,0
git-el,0
libfile-stripnondeterminism-perl,0
p7zip-full,0
libkeyutils1,34364253
account-plugin-facebook,0
iptables,0
gnome-robots,0
gir1.2-secret-1,0
tracker-miner-fs,0
ibus-table,0
libgdk-pixbuf2.0-common,0
dc,4548
realmd,0
libreoffice-math,0
xorg-docs-core,0
onboard,0
python3-xlsxwriter,0
gnome-session-bin,0
xfslibs-dev,0
emacs24-common-non-dfsg,0
libtag1v5,0
libflite1,0
update-notifier-common,0
libelf-dev,0
fcitx-frontend-qt5,0
fcitx-frontend-qt4,0
patch,0
libxcb-image0,0
e2fslibs,0
libcolumbus1-common,0
texlive-pstricks,0
